titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
F Bilbao 2 Amb con Cochera al 3000,"F Bilbao 2 Amb con Cochera al 3000, 2° piso - Flores",$,12500,5m²,49m²,1,,$2.500,,Frente,,,1,Semipiso,29años,
MCAL SUCRE JOSE ANTONIO 900,"MCAL SUCRE JOSE ANTONIO 900, 3° piso - Belgrano",$,11000,5m²,35m²,Monoambiente,,,,Frente,,,,Departamento,3años,
Montevideo 600,"Montevideo 600, 4° piso - Tribunales",$,27000,,,,,$8.765,,,,,,,35años,
Aguero 1900,"Aguero 1900, 8° piso - Recoleta",$,8500,,30m²,,,NoIncluidas,,Lateral,,,,Departamento,,
Juncal 2800,"Juncal 2800, 6° piso - Recoleta",$,18500,8m²,56m²,2,,$3.300,,Frente,,,,Departamento,30años,
Arenales 3500,"Arenales 3500, 1° piso - Palermo",$,24000,"3,7m²","89,19m²",2,,$5.200,,Frente,,,,Departamento,62años,
Juan B Ambrosetti 200,"Juan B Ambrosetti 200, 11° piso - Caballito",$,17500,10m²,76m²,2,,NoIncluidas,,Frente,,,,Departamento,30años,
Av B Rivadavia 6000,"Av B Rivadavia 6000, 7° piso - Caballito",$,23000,20m²,105m²,2,,$8.000,,Frente,,,,Semipiso,40años,
Soler 4000,"Soler 4000, 3° piso - Palermo Viejo",$,19000,4m²,36m²,1,,Incluidas,,Frente,,,,Departamento,6años,Si
Montañeses 2900,"Montañeses 2900, 5° piso - Belgrano",$,16000,,32m²,1,,NoIncluidas,,Contrafrente,,,1,Departamento,,
Carlos Pellegrini 600,Carlos Pellegrini 600 - San Nicolás,$,13000,,,,,$8.000,,,,,,,50años,
Av Scalabrini Ortiz 700,Av Scalabrini Ortiz 700 - Villa Crespo,$,13500,,32m²,,,,,,,,,,,
Paraguay 800,"Paraguay 800, 6° piso - Centro",$,40000,,,,,$10.200,,,,,1,,30años,
Tres de Febrero 2900,Tres de Febrero 2900 - Caseros,$,29500,,35m²,,,,,,,,,,8años,
Av Santa Fe 1600,Av Santa Fe 1600 - Recoleta,$,16000,,43m²,,,$12.000,,,,,,,,
Av La Plata 200,Av La Plata 200 - Parque Rivadavia,$,9500,,36m²,1,,NoIncluidas,11,Interno,,5,,Departamento,35años,
Tucumán 800,"Tucumán 800, 6to piso - Pilar Centro",$,9300,,,1,,NoIncluidas,,Lateral,,,,Departamento,10años,Si
Manzanares 2100,"Manzanares 2100, 6° piso - Nuñez",$,19000,3m²,65m²,2,,NoIncluidas,,Frente,,,,Departamento,30años,
Cavassa 2500,"Cavassa 2500, 1° piso - Caseros",$,6900,,34m²,Monoambiente,,$900,,Frente,,,,Departamento,,Si
Av Callao 400,Av Callao 400 - San Nicolás,$,11000,,,,,$3.900,,,,,,,,
Araoz 2500,"Araoz 2500, 5° piso - Barrio Norte",$,10500,,37m²,1,,$1.700,,Lateral,,,,Departamento,,
G Rawson 5400,G Rawson 5400 - Mar Del Plata,$,25000,270m²,270m²,,,,,,,,,,,
Belgrano 300,"Belgrano 300, 10° piso - Bernal",+ $. de expensas'],2000,,70m²,2,,$2.000,,Lateral,,,,Departamento,,
Pte M T De Alvear 600,"Pte M T De Alvear 600, 10° piso - Plaza San Martín",USD,1800,,290m²,4,,$16.000,,Frente,,,,Piso,,
Bonpland 1700,Bonpland 1700 - Palermo Hollywood,$,13000,2m²,60m²,1,,NoIncluidas,,Frente,,,,Departamento,70años,
Av Santa Fe 4900,"Av Santa Fe 4900, 5° piso - Palermo",$,9800,,27m²,Monoambiente,,$1.500,,Interno,,,,Departamento,40años,
Rawson y Junín,Rawson y Junín - Puerto Norte,$,7500,,32m²,1,,$1.100,,Interno,,,1,,,
Paraguay y 9 de Julio,Paraguay y 9 de Julio - Centro,$,8500,,55m²,1,,,,Interno,,,,,40años,
