titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
"Calle 21 D 1401, City Bell, La Plata",Calle 21 D 1401 City Bell - La Plata - Bs.as. G.b.a. Sur,U$S,185.000, 100 m² ,100 m²,2,3,,,Frente,,,2,Dúplex,0 años,
"Avellano 1, Cariló",Avellano 1 Cariló - Bs.as. Costa Atlántica,U$S,370.000, 1 m² ,1 m²,6,9,,2,,,,1,,15 años,
"Ayacucho Y 3 De Febrero 2700, San Martín Centro, General San Martín",Ayacucho Y 3 De Febrero 2700 San Martín Centro - General San Martín - Bs.as. G.b.a. Norte,$,450.000, 30 m² ,20 m²,,,,,,,,1,,,
"Calle 6 1726, Miramar",Calle 6 1726 Miramar - Bs.as. Costa Atlántica,$,11.000, 45 m² ,45 m²,,1,,,Frente,,,,Departamento,,
"Boulevar Todos Los Santos Al 2800, Vila Marina, Tigre",Boulevar Todos Los Santos Al 2800 Vila Marina - Tigre - Bs.as. G.b.a. Norte,U$S,280.000, 404 m² ,123 m²,3,,,,,,,1,,0 años,Si
"Villa General Belgrano Sn, Costa Verde, Villa General Belgrano",Villa General Belgrano Sn Costa Verde - Villa General Belgrano - Córdoba,$,100, 2380 m² ,56 m²,,,,,,,,,,,
"Salguero 2154, San Martín Centro, General San Martín",Salguero 2154 San Martín Centro - General San Martín - Bs.as. G.b.a. Norte,U$S,120.000, 54 m² ,54 m²,2,3,2200,,Lateral,17,8,,Departamento,40 años,
"Casa 68 - Los Troncos Club De Campo, Los Troncos, Pilar",Casa 68 - Los Troncos Club De Campo Los Troncos - Pilar - Bs.as. G.b.a. Norte,U$S,160.000, 420 m² ,160 m²,2,4,,2,,,,2,,8 años,
"Bv. Maritimo Patricio Peralta Ramos 2865, Torreón, Mar Del Plata",Bv. Maritimo Patricio Peralta Ramos 2865 Torreón - Mar Del Plata - Bs.as. Costa Atlántica,U$S,85.000, 38 m² ,38 m²,1,2,,,,,,,,,
"Chorroarin 853, Paternal,",Chorroarin 853 Paternal - Capital Federal,U$S,120.000, 80 m² ,80 m²,,,,,,,,,,40 años,
